Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Arsenal,29,38,1.29,0.13,0.03,9.11,10.5,1.61,19.8,9.24,6.63,0.13,0.08,0.11,48.4,13.3,15.6,45.9
Aston Villa,24,38,1.87,0.11,0.11,11.6,14.6,1.87,20.5,10.2,7.42,0.16,0.16,0.03,50.2,19.2,17.5,52.3
Brighton,27,38,1.29,0.16,0.05,11.3,9.39,1.37,18.1,11.2,8.79,0.18,0.18,0.05,53.7,14,15.1,48.1
Burnley,25,38,1.26,0,0,10.1,10.2,2.11,20.3,10.9,7.71,0.08,0.08,0.03,52.6,23,22.5,50.6
Chelsea,27,38,1.34,0.08,0.03,11.4,9.58,2.08,19.7,10.1,8.97,0.26,0.11,0.03,52.6,15,13.6,52.5
Crystal Palace,24,38,1.47,0.05,0.03,10.8,11.5,1.76,14,10.4,9.63,0.05,0.11,0,50.6,18,17.3,51
Everton,29,38,1.55,0.05,0,10.2,10.3,1.71,17.4,10.3,10,0.11,0.11,0.03,53.4,17.5,12.8,57.8
Fulham,28,38,1.76,0.08,0,12.7,9.79,1.13,18.7,11.5,8.66,0.13,0.18,0.03,52.9,17.1,16.4,50.9
Leeds United,23,38,1.61,0.03,0,11.4,10.8,2,20.7,10.4,11,0.08,0.24,0.05,56.8,14.2,15.9,47.1
Leicester City,27,38,1.61,0,0,10.9,11.1,1.87,17.1,11.5,10.6,0.29,0.11,0.05,55.6,15.8,15.5,50.4
Liverpool,28,38,1.05,0,0,10.4,8.32,1.71,22.7,9.13,7.97,0.11,0.21,0,57.9,14.1,15.1,48.4
Manchester City,24,38,1.21,0.05,0,9.5,9.79,1.5,16.6,8.39,7.13,0.18,0.26,0.03,51.2,12.6,11,53.5
Manchester Utd,29,38,1.68,0.03,0,11.9,10.5,2,16.8,10.2,8.18,0.24,0.11,0.05,55.9,14.4,10.9,56.9
Newcastle Utd,27,38,1.71,0.08,0.05,10.2,11.1,1.53,17.2,9.53,7.05,0.16,0.13,0.08,46.6,16.7,17.2,49.2
Sheffield Utd,27,38,1.92,0.08,0,12.1,7.71,1.92,17.5,9.24,9.37,0.08,0.11,0.08,47.4,18.9,21,47.4
Southampton,29,38,1.37,0.08,0,11.3,11.1,2,14.6,10.6,11,0.11,0.24,0.03,52.9,13.9,18.8,42.5
Tottenham,24,38,1.5,0.05,0.05,11.6,12.3,1.18,13.8,9,9.5,0.13,0.26,0.08,51.3,16.3,17,48.9
West Brom,30,38,1.34,0.11,0,10.6,10.8,1.97,15.9,11.4,8.63,0.11,0.29,0.08,51.7,18.7,20.3,47.9
West Ham,24,38,1.32,0.08,0.03,9.87,9.32,1.95,20.4,11.5,7.37,0.08,0.13,0.11,52.8,19.4,17.8,52.2
Wolves,27,38,1.45,0.03,0.03,11.2,10.1,0.97,20.4,11.4,8.82,0.08,0.21,0.08,50,15.2,15.7,49.1
