Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,29,38,474.8,573.9,82.7,8055.1,2461.6,218.9,243.1,90.1,204.5,231.9,88.2,38.2,69,55.4,1,0.92,0.93,0.08,8.74,36.2,8.55,1.76,46.3
Aston Villa,24,38,340.5,447.3,76.1,6209.3,2447.9,150.8,175.2,86.1,137.4,163.4,84.1,41.3,80.9,51.1,1,0.98,0.83,0.02,10.6,28.6,8.5,2,37.4
Brighton,27,38,415.1,522.9,79.4,7453,2506.5,176.2,201.4,87.5,181.4,209.5,86.6,44.4,81.3,54.7,0.63,0.87,0.92,-0.24,9.42,29.8,9.42,2.11,39.9
Burnley,25,38,284.9,409.5,69.6,5179.4,2162.9,134.7,159.4,84.5,97.1,126.9,76.5,40.9,93,43.9,0.53,0.73,0.71,-0.2,7.03,24.3,7.68,2.11,26.6
Chelsea,27,38,578.1,678.9,85.2,9485.5,2957.7,275.1,301.4,91.3,235.9,262.5,89.9,43.9,71.1,61.7,1,1.09,0.98,-0.09,11.8,37.9,9.92,1.84,47.3
Crystal Palace,24,38,306,410.4,74.5,5097.5,2138.8,155,181.1,85.6,108.6,133.9,81.1,29.8,64.4,46.2,0.76,0.62,0.62,0.14,6.95,22.1,6.11,1.42,29.8
Everton,29,38,389.3,492,79.1,6927,2471.6,172.7,195.7,88.2,161.2,186.1,86.6,41.6,76.9,54,0.84,0.81,0.76,0.03,7.89,24.8,6.76,1.58,31.2
Fulham,28,38,405.3,513.5,78.9,7122.1,2484.1,180.3,206.2,87.4,171.8,200.3,85.8,40.2,75.4,53.3,0.47,0.69,0.67,-0.22,8.79,26.8,7.63,2.47,35.6
Leeds United,23,38,428.5,542.9,78.9,7539.2,2612.5,183.4,208.8,87.9,187.6,218.6,85.8,42.9,79.3,54.1,1.18,1.1,0.91,0.08,10.4,29.2,9.18,1.79,43
Leicester City,27,38,447.7,558.3,80.2,7510.4,2476.1,207.7,236.3,87.9,184.5,213.5,86.4,38.4,72,53.4,1.18,0.89,0.79,0.3,9.47,31.8,7.45,1.5,38.5
Liverpool,28,38,577.1,690.2,83.6,9499.7,3036.8,283.9,312.2,91,230.2,261.6,88,45.1,78.1,57.8,1.13,1.27,1.2,-0.14,12,42.3,13.8,2.16,54.1
Manchester City,24,38,626.8,714.9,87.7,10268.7,2919.8,303.9,326.6,93.1,254.6,279.7,91,46.6,68.8,67.7,1.45,1.19,1.14,0.25,11.4,46.6,10.8,1.08,54
Manchester Utd,29,38,494.7,595.4,83.1,8169.4,2652.9,243.4,270,90.1,191,217.2,87.9,42,68,61.8,1.34,1.09,1.01,0.25,10.9,37.3,9.92,1.42,48.2
Newcastle Utd,27,38,285.2,387.1,73.7,5188.4,2028.9,127.1,148.3,85.7,110.4,135,81.8,36.5,75.8,48.2,0.68,0.76,0.56,-0.08,7.61,19.4,5.45,2.18,23.8
Sheffield Utd,27,38,319.6,428,74.7,5460.8,2068.1,158.1,181.7,87,114,139.6,81.7,33.6,74.7,45,0.34,0.66,0.58,-0.31,6.66,24.9,6.66,1.71,31.5
Southampton,29,38,392.8,507.6,77.4,6290.2,2248.7,199.7,227.9,87.6,148.1,176.1,84.1,28.9,67,43.1,0.87,0.68,0.58,0.19,7.74,23.5,6.87,0.95,31.4
Tottenham,24,38,434.4,541.3,80.2,7234.5,2476.3,205.3,232.3,88.4,172.7,200.1,86.3,36.7,70.3,52.1,1.32,0.93,0.67,0.39,8.32,27.2,6.76,1.42,35
West Brom,30,38,257.1,367.8,69.9,4671.1,1993.3,116.3,138.9,83.7,97.3,125.9,77.3,33.5,76.9,43.5,0.53,0.64,0.56,-0.12,6.34,21.6,5.16,1.58,27
West Ham,24,38,334.9,444.8,75.3,5938.6,2336.6,154.9,180.6,85.8,130.2,159.3,81.8,38.7,75.3,51.4,1.21,1.04,0.84,0.17,8.95,27.3,6.26,2.5,33.7
Wolves,27,38,409.2,505.9,80.9,7238.4,2447.7,183.9,205.2,89.7,166.3,193.2,86.1,45.8,77.5,59.2,0.55,0.63,0.63,-0.08,9.08,29.4,5.61,2.24,33.8
