Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,3,38,1.03,0.05,0,0.08,0.11,0.95,0.26,0.03,0.03,2.13,7.97,26.7,26.9,5.42,16.7,28.2,6.26,55.5,42.3,13.6,0.63,4.6,0.97,0.97,
Aston Villa,1,38,1.21,0.13,0.05,0.11,0.03,1.29,0.24,0.11,0.11,6.5,16.8,38.7,27.8,4.66,45,37.1,6.74,64.1,46.9,16.1,1.11,6.9,0.89,0.89,14.2
Brighton,2,38,1.21,0.16,0,0.21,0.05,0.94,0.24,-0.21,-0.21,5.08,13.7,37,33.7,4.71,32.1,28.8,6.13,47.6,39.1,12.5,0.74,5.9,0.87,0.87,10.6
Burnley,3,38,1.45,0.08,0,0.21,0.03,1.29,0.26,-0.13,-0.13,8.34,22.1,37.7,22.3,3.76,69.1,54.5,7.84,85.9,59.7,15.8,0.89,5.7,2.05,2.05,10
Chelsea,3,38,0.95,0.08,0.03,0.13,0.03,0.83,0.26,-0.09,-0.1,2.45,6.66,36.8,28.1,4.45,17.7,21.6,6.08,27.7,26.6,10.8,0.53,4.9,0.82,0.82,28
Crystal Palace,2,38,1.74,0.08,0.03,0.24,0,1.35,0.28,-0.39,-0.39,5.95,17.6,33.8,20.4,4.16,51,48.9,8.5,84.8,56.3,16.4,0.53,3.2,0.68,0.68,23.3
Everton,3,38,1.26,0.08,0.03,0.13,0.03,1.26,0.28,0.02,0.02,7.05,18.2,38.7,28.7,4.66,47.6,35.6,7.13,63.5,47.7,14.7,0.66,4.5,0.92,0.92,12.3
Fulham,2,38,1.39,0.18,0,0.08,0.03,1.43,0.29,0.07,0.07,3.95,10.6,37.3,21.1,4.71,32.5,30.2,6.79,55,39.5,13.6,0.71,5.2,0.87,0.87,14
Leeds United,2,38,1.42,0.21,0.03,0.29,0.05,1.31,0.21,-0.06,-0.06,2.76,8.39,32.9,30.7,8.05,19.1,27.4,7.84,32.2,28.9,12.6,0.74,5.9,0.53,0.53,11.9
Leicester City,1,38,1.32,0.11,0,0.24,0.05,1.11,0.29,-0.15,-0.15,4.18,11.2,37.4,27.3,4.76,32.1,33.2,5.53,43.8,37.9,12.7,0.53,4.1,0.5,0.5,13.6
Liverpool,3,38,1.11,0.11,0.03,0.16,0,1.16,0.29,0.05,0.05,2.29,6.24,36.7,29.1,5.16,16.4,31.3,5.5,26.8,29.5,10.6,0.55,5.2,2.5,2.5,17
Manchester City,3,38,0.84,0.21,0,0.08,0.03,0.84,0.23,0.03,0.03,2.84,7.13,39.9,26.3,4.5,20.2,27,4.42,41.1,37.3,8.76,0.5,5.7,1.16,1.16,
Manchester Utd,2,38,1.16,0.11,0.03,0.24,0.05,1.03,0.25,-0.07,-0.07,2.26,7,32.3,17,4.05,28.1,29.7,7,31.6,29.4,12.6,0.29,2.3,1.24,1.24,16.8
Newcastle Utd,2,38,1.63,0.11,0.03,0.11,0.08,1.42,0.26,-0.14,-0.14,6.45,17.7,36.5,21.6,4.18,52.8,32.5,8.89,70.4,50,17,0.71,4.2,0.55,0.55,12.6
Sheffield Utd,1,38,1.66,0.08,0,0.21,0.08,1.43,0.26,-0.15,-0.15,6.92,21.5,32.2,22.8,3.37,64.5,45.5,7.39,91.8,64.5,15.2,0.87,5.7,0.89,0.89,12.8
Southampton,2,38,1.79,0.21,0.03,0.08,0.03,1.48,0.27,-0.28,-0.28,3.66,15,24.4,29.1,4.18,38.4,35.3,6.21,61,41.9,13.3,0.76,5.7,1.18,1.18,15.6
Tottenham,1,38,1.18,0.26,0,0.08,0.08,1.2,0.24,0.09,0.1,4.18,10.7,39,21.4,4.74,38.6,32.4,6.95,35.6,28.1,15.5,0.61,3.9,0.63,0.63,13.1
West Brom,2,38,2,0.18,0.05,0.21,0.08,1.79,0.25,-0.13,-0.13,7.92,24.1,32.9,26.8,4.82,63.7,41.8,8.11,86.7,57.1,17.6,0.53,3,1,1,7
West Ham,2,38,1.24,0.08,0,0.18,0.11,1.11,0.27,-0.03,-0.03,6.58,17.1,38.6,20.5,4.18,54.9,40.4,7.79,74.3,51.4,14.9,0.68,4.6,0.45,0.45,10.8
Wolves,2,38,1.37,0.18,0.03,0.24,0.08,1.22,0.25,-0.07,-0.07,4.24,10.2,41.4,14.7,4.11,43.1,33.2,7.24,54.2,36.7,15.2,0.63,4.2,0.32,0.32,8.7
